"","TEAM","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"1","AGU",218,21,123,200,132,73,1,11,10,16,5,191,9.42,1.52
"2","CAM",238,22,130,117,113,57,0,7,14,18,5,182,5.79,1.62
"3","DUR",262,18,169,149,138,102,0,10,11,16,6,184,7.29,1.98
"4","LAR",185,15,93,87,153,66,2,9,12,6,4,183.2,4.26,1.37
"5","LEO",225,27,142,128,137,82,1,8,13,6,2,187.1,6.15,1.64
"6","MTY",207,20,99,93,150,63,0,15,6,20,3,196.2,4.26,1.37
"7","MVA",231,14,132,110,137,68,0,8,13,13,2,185.2,5.33,1.61
"8","MXO",218,30,119,109,172,81,4,13,8,20,6,195,5.03,1.53
"9","OAX",230,25,142,107,137,83,2,10,11,7,4,189.1,5.09,1.65
"10","PUE",190,19,110,95,138,95,2,13,8,12,3,185,4.62,1.54
"11","QUI",203,13,97,88,135,60,1,14,6,33,8,182,4.35,1.45
"12","SLT",227,14,130,121,135,67,1,8,13,16,5,185.2,5.87,1.58
"13","TAB",208,17,124,112,133,86,2,8,13,11,4,185,5.45,1.59
"14","TIJ",209,28,109,105,141,77,5,12,10,15,4,195,4.85,1.47
"15","VAQ",204,19,113,105,105,101,3,6,15,5,3,182,5.19,1.68
"16","YUC",208,10,93,85,119,60,1,16,5,15,8,191.1,4,1.4
