"","TEAM","SO","BB","IP","ERA","WHIP","BB/9","K/9"
"1","AGU",132,73,191,9.42,1.52,0.38,0.69
"2","CAM",113,57,182,5.79,1.62,0.31,0.62
"3","DUR",138,102,184,7.29,1.98,0.55,0.75
"4","LAR",153,66,183.2,4.26,1.37,0.36,0.83
"5","LEO",137,82,187.1,6.15,1.64,0.44,0.73
"6","MTY",150,63,196.2,4.26,1.37,0.32,0.76
"7","MVA",137,68,185.2,5.33,1.61,0.37,0.74
"8","MXO",172,81,195,5.03,1.53,0.42,0.88
"9","OAX",137,83,189.1,5.09,1.65,0.44,0.72
"10","PUE",138,95,185,4.62,1.54,0.51,0.75
"11","QUI",135,60,182,4.35,1.45,0.33,0.74
"12","SLT",135,67,185.2,5.87,1.58,0.36,0.73
"13","TAB",133,86,185,5.45,1.59,0.46,0.72
"14","TIJ",141,77,195,4.85,1.47,0.39,0.72
"15","VAQ",105,101,182,5.19,1.68,0.55,0.58
"16","YUC",119,60,191.1,4,1.4,0.31,0.62
