"","DATE","TIME","ATT"
"1","01/04/2018",177.75,7490.625
"2","03/04/2018",196.375,2783.5
"3","04/04/2018",190.875,2600.125
"4","05/04/2018",185.375,3363.375
"5","06/04/2018",183.25,3639.5
"6","07/04/2018",197.125,3321
"7","08/04/2018",178.75,3210.875
"8","10/04/2018",192.75,3136.75
"9","11/04/2018",181.625,3468.5
"10","12/04/2018",179.5,4494.25
"11","13/04/2018",198.625,6553.875
"12","14/04/2018",193.125,7022.25
"13","15/04/2018",195.142857142857,8173.57142857143
"14","22/03/2018",195,17698
"15","23/03/2018",190,8025
"16","24/03/2018",197,6563.125
"17","25/03/2018",189.428571428571,5575
"18","27/03/2018",190.625,8972.875
"19","28/03/2018",193.375,5159.75
"20","29/03/2018",186.375,6822.25
"21","30/03/2018",197.75,7301.625
"22","31/03/2018",183.375,5845.125
"23","2018-04-17",187.125,2369
